unique_id,moe_abs_error,moe_error,moe_n_forecasts,moe_bias,moe_mape,moe_fq,ets_abs_error,ets_error,ets_n_forecasts,ets_bias,ets_mape,ets_fq,better_by_fq
FOODS_1_108_CA_3,32.31862771511078,-16.13093602657318,13,-1.2408412328133216,2.4860482857777524,3.726889518591074,25.80747563333836,-15.099798780271012,13,-1.1615229830977702,1.98519043333372,3.1467134164314903,ets
FOODS_2_019_CA_3,30.48094654083252,-20.22908592224121,13,-0.23522192932838618,0.35442961093991304,0.5896515402682992,26.558818425941805,4.951115593984289,13,0.05757111155795685,0.3088234700690908,0.36639458162704763,ets
FOODS_2_197_CA_3,50.413185596466064,-12.440484523773192,13,-0.11207643715110983,0.454172843211406,0.5662492803625159,61.67388260574802,-49.37396890381108,13,-0.44481053066496473,0.5556205640157479,1.0004310946807127,moe
FOODS_2_285_CA_3,34.48814272880554,-13.543338060379028,13,-0.3660361637940278,0.932111965643393,1.2981481294374209,25.282674774320952,-12.897504517916191,13,-0.3485812031869241,0.6833155344411068,1.0318967376280308,ets
FOODS_2_315_CA_3,28.360358953475952,1.3698084354400635,13,0.021742991038731167,0.45016442783295163,0.4719074188716828,31.710371409158423,-4.877366144641512,13,-0.07741851023240495,0.5033392287168004,0.5807577389492053,moe
FOODS_3_026_CA_3,19.252842903137207,0.8259031772613525,13,0.04346858827691329,1.0133075212177478,1.056776109494661,18.977183587463074,1.4950467034888524,13,0.07868666860467644,0.998799136182267,1.0774858047869436,moe
FOODS_3_076_CA_3,39.33087968826294,0.8198285102844238,13,0.011230527538142791,0.538779173811821,0.5500097013499639,32.37184763503795,-3.579054539158924,13,-0.049028144372040054,0.4434499676032596,0.49247811197529967,ets
FOODS_3_133_CA_3,64.5962929725647,-27.00629472732544,13,-0.3104171807738556,0.7424861261214333,1.0529033068952889,50.361845198482,14.769306443956726,13,0.16976214303398535,0.5788717838905977,0.748633926924583,ets
FOODS_3_135_CA_3,66.16926002502441,58.24983787536621,13,0.2971930503845215,0.337598265433798,0.6347913158183195,46.18768574266234,24.612070598247755,13,0.12557178876657019,0.23565145787072622,0.36122324663729644,ets
FOODS_3_144_CA_3,25.72478151321411,7.911281585693359,13,0.1364014066498855,0.44353071574507086,0.5799321223949564,26.201291409521122,1.4718620654951766,13,0.025376932163709943,0.4517464036124331,0.4771233357761431,ets
FOODS_3_265_CA_3,31.18415594100952,23.68373966217041,13,0.4385877715216743,0.5774843692779541,1.0160721407996283,27.317317640029426,6.218970486739217,13,0.1151661201248003,0.5058762525931375,0.6210423727179378,ets
FOODS_3_310_CA_3,14.622308135032654,-0.3894017934799201,13,-0.016930512759996526,0.6357525276101154,0.6526830403701119,17.985165767405,-2.599433910509471,13,-0.11301886567432481,0.7819637290176087,0.8949825946919335,moe
FOODS_3_324_CA_3,91.04784321784973,77.30082321166992,13,0.5642395854866418,0.664582797210582,1.2288223826972238,74.74785044929602,56.05204883538417,13,0.40913904259404504,0.5456047478050805,0.9547437903991256,ets
FOODS_3_407_CA_3,27.507731914520264,14.201670169830322,13,0.28403340339660643,0.5501546382904052,0.8341880416870117,23.369783460849877,5.282919389891205,13,0.1056583877978241,0.46739566921699754,0.5730540570148217,ets
FOODS_3_455_CA_3,40.28117370605469,31.182201385498047,13,0.22595798105433368,0.2918925630873528,0.5178505441416865,26.419787358357198,16.56260435403827,13,0.1200188721307121,0.19144773448084926,0.31146660661156134,ets
FOODS_3_519_CA_3,17.224138259887695,-10.650064945220947,13,-0.35500216484069824,0.5741379419962566,0.9291401068369548,23.909212060049672,-19.124439559581113,13,-0.6374813186527037,0.796973735334989,1.4344550539876928,moe
FOODS_3_524_CA_3,42.23819899559021,-42.23819899559021,13,,,,5.797253704079893,-5.797253704079893,13,,,,tie
FOODS_3_570_CA_3,34.220773696899414,8.213346481323242,13,0.07080471104589002,0.295006669800857,0.365811380846747,30.38465768690904,9.935479197950453,13,0.08565068274095218,0.2619367041974917,0.3475873869384439,ets
FOODS_3_578_CA_3,46.73332762718201,28.385138273239136,13,0.3379183127766564,0.5563491384188334,0.8942674511954898,39.837449711685636,7.527296319089703,13,0.0896106704653536,0.4742553537105433,0.5638660241758969,ets
FOODS_3_583_CA_3,33.76423096656799,13.006365537643433,13,0.23225652745791844,0.6029326958315713,0.8351892232894897,30.474644373254637,1.3017090536504958,13,0.02324480452947314,0.5441900780938328,0.567434882623306,ets
FOODS_3_586_CA_3,162.82730865478516,41.367225646972656,13,0.046220363851366096,0.18192995380422922,0.22815031765559532,120.85405186041876,75.46291477362497,13,0.0843161058923184,0.13503246017923884,0.21934856607155723,ets
FOODS_3_587_CA_3,86.5581226348877,-70.78721809387207,13,-0.1971788804843233,0.2411089766988515,0.4382878571831748,88.96459682658005,-79.58401754756896,13,-0.22168250013250407,0.2478122474277996,0.4694947475603036,moe
FOODS_3_594_CA_3,9.574097096920013,-3.7955328822135925,13,,,,3.1746372140642265,-3.1746372140642265,13,,,,tie
FOODS_3_628_CA_3,34.45994186401367,-3.417544841766358,13,-0.06328786744011773,0.6381470715558087,0.7014349389959265,30.640643907708405,-10.645557994030462,13,-0.19713996285241595,0.5674193316242298,0.7645592944766457,moe
FOODS_3_648_CA_3,18.62494969367981,6.3703932762146,13,0.24501512600825384,0.716344218987685,0.9613593449959388,18.706945160126622,0.5602218918872761,13,0.021546995841818312,0.7194978907741009,0.7410448866159192,ets
FOODS_3_661_CA_3,28.890538692474365,4.508612155914307,13,0.047459075325413755,0.3041109336049933,0.3515700089304071,28.878635530027836,5.189887111971595,13,0.054630390652332585,0.30398563715818777,0.3586160278105204,moe
FOODS_3_694_CA_3,47.74913692474365,-0.9737081527709961,13,-0.00459296298476885,0.22523177794690402,0.22982474093167288,51.47450103569357,-23.464629796546735,13,-0.11068221602144686,0.2428042501683659,0.3534864661898128,moe
FOODS_3_805_CA_3,17.336527287960052,-1.4927921891212463,13,-0.0932995118200779,1.0835329554975033,1.1768324673175812,15.191456523678742,-3.354302567050345,13,-0.20964391044064656,0.9494660327299214,1.1591099431705678,ets
FOODS_3_809_CA_3,27.972114086151123,-12.007328510284424,13,-0.37522901594638824,0.8741285651922226,1.2493575811386108,24.577557126606933,-14.24983146583326,13,-0.4453072333072894,0.7680486602064667,1.213355893513756,ets
