unique_id,moe_abs_error,moe_error,moe_n_forecasts,moe_bias,moe_mape,moe_fq,ets_abs_error,ets_error,ets_n_forecasts,ets_bias,ets_mape,ets_fq,better_by_fq
FOODS_1_108_CA_3,25.35027825832367,-9.034510254859924,13,-0.6949623272969172,1.9500214044864361,2.6449837317833533,25.80747563333836,-15.099798780271012,13,-1.1615229830977702,1.98519043333372,3.1467134164314903,moe
FOODS_2_019_CA_3,39.59083271026611,-23.32022190093994,13,-0.2711653709411621,0.46035851988681525,0.7315238908279773,26.558818425941805,4.951115593984289,13,0.05757111155795685,0.3088234700690908,0.36639458162704763,ets
FOODS_2_197_CA_3,48.9732027053833,-22.172236442565918,13,-0.19974987786095422,0.4412000243728225,0.6409499022337768,61.67388260574802,-49.37396890381108,13,-0.44481053066496473,0.5556205640157479,1.0004310946807127,moe
FOODS_2_285_CA_3,30.65924096107483,-6.811027765274048,13,-0.18408183149389318,0.8286281340831035,1.0127099655769967,25.282674774320952,-12.897504517916191,13,-0.3485812031869241,0.6833155344411068,1.0318967376280308,moe
FOODS_2_315_CA_3,25.31585717201233,-1.8189332485198975,13,-0.02887195632571266,0.40183900273035444,0.4307109590560671,31.710371409158423,-4.877366144641512,13,-0.07741851023240495,0.5033392287168004,0.5807577389492053,moe
FOODS_3_026_CA_3,19.239002525806427,-0.2514120936393738,13,-0.013232215454703882,1.0125790803056014,1.0258112957603054,18.977183587463074,1.4950467034888524,13,0.07868666860467644,0.998799136182267,1.0774858047869436,moe
FOODS_3_076_CA_3,39.512032985687256,-12.444024562835697,13,-0.17046608990185885,0.5412607258313322,0.7117268157331911,32.37184763503795,-3.579054539158924,13,-0.049028144372040054,0.4434499676032596,0.49247811197529967,ets
FOODS_3_133_CA_3,49.39465856552124,6.081798076629639,13,0.06990572501873148,0.5677546961554165,0.637660421174148,50.361845198482,14.769306443956726,13,0.16976214303398535,0.5788717838905977,0.748633926924583,moe
FOODS_3_135_CA_3,52.70866107940674,31.02372646331787,13,0.1582843186903973,0.2689217402010548,0.42720605889145213,46.18768574266234,24.612070598247755,13,0.12557178876657019,0.23565145787072622,0.36122324663729644,ets
FOODS_3_144_CA_3,30.643950700759888,10.2951500415802,13,0.17750258692379656,0.5283439775993084,0.7058465645231049,26.201291409521122,1.4718620654951766,13,0.025376932163709943,0.4517464036124331,0.4771233357761431,ets
FOODS_3_265_CA_3,30.096346735954285,17.677120566368103,13,0.3273540845623723,0.5573397543695238,0.8846938389318961,27.317317640029426,6.218970486739217,13,0.1151661201248003,0.5058762525931375,0.6210423727179378,ets
FOODS_3_310_CA_3,18.781963348388672,-4.342105865478516,13,-0.18878721154254416,0.8166071021038553,1.0053943136463994,17.985165767405,-2.599433910509471,13,-0.11301886567432481,0.7819637290176087,0.8949825946919335,ets
FOODS_3_324_CA_3,99.28603053092957,89.02771830558777,13,0.6498373598948012,0.7247155513206538,1.374552911215455,74.74785044929602,56.05204883538417,13,0.40913904259404504,0.5456047478050805,0.9547437903991256,ets
FOODS_3_407_CA_3,26.984216690063477,14.54101848602295,13,0.290820369720459,0.5396843338012696,0.8305047035217286,23.369783460849877,5.282919389891205,13,0.1056583877978241,0.46739566921699754,0.5730540570148217,ets
FOODS_3_455_CA_3,48.061623096466064,42.897676944732666,13,0.31085273148357007,0.34827263113381207,0.6591253626173821,26.419787358357198,16.56260435403827,13,0.1200188721307121,0.19144773448084926,0.31146660661156134,ets
FOODS_3_519_CA_3,27.252581119537354,-19.639621257781982,13,-0.6546540419260661,0.9084193706512451,1.5630734125773111,23.909212060049672,-19.124439559581113,13,-0.6374813186527037,0.796973735334989,1.4344550539876928,ets
FOODS_3_524_CA_3,49.271479845047,-35.77845215797424,13,,,,5.797253704079893,-5.797253704079893,13,,,,tie
