unique_id,moe_abs_error,moe_error,moe_n_forecasts,moe_bias,moe_mape,moe_fq,ets_abs_error,ets_error,ets_n_forecasts,ets_bias,ets_mape,ets_fq,better_by_fq
FOODS_1_108_CA_3,28.59448480606079,-16.94233775138855,13,-1.3032567501068115,2.1995757543123684,3.50283250441918,25.80747563333836,-15.099798780271012,13,-1.1615229830977702,1.98519043333372,3.1467134164314903,ets
FOODS_2_019_CA_3,30.338486194610596,-7.6820502281188965,13,-0.08932616544324298,0.35277309528616974,0.44209926072941275,26.558818425941805,4.951115593984289,13,0.05757111155795685,0.3088234700690908,0.36639458162704763,ets
FOODS_2_197_CA_3,46.864967346191406,-11.981706619262694,13,-0.10794330287624049,0.4222069130287514,0.5301502159049919,61.67388260574802,-49.37396890381108,13,-0.44481053066496473,0.5556205640157479,1.0004310946807127,moe
FOODS_2_285_CA_3,38.48282790184021,-13.631689310073853,13,-0.36842403540740143,1.0400764297794651,1.4085004651868664,25.282674774320952,-12.897504517916191,13,-0.3485812031869241,0.6833155344411068,1.0318967376280308,ets
FOODS_2_315_CA_3,39.966092586517334,-0.6934809684753418,13,-0.011007634420243521,0.6343824220082116,0.6453900564284551,31.710371409158423,-4.877366144641512,13,-0.07741851023240495,0.5033392287168004,0.5807577389492053,ets
FOODS_3_026_CA_3,18.52821236848831,9.345673739910126,13,0.4918775652584277,0.9751690720257006,1.4670466372841282,18.977183587463074,1.4950467034888524,13,0.07868666860467644,0.998799136182267,1.0774858047869436,ets
FOODS_3_076_CA_3,36.09329700469971,-10.051441192626953,13,-0.13769097524146512,0.4944287260917768,0.6321197013332419,32.37184763503795,-3.579054539158924,13,-0.049028144372040054,0.4434499676032596,0.49247811197529967,ets
FOODS_3_133_CA_3,60.223862648010254,22.85465431213379,13,0.2626971760015378,0.6922283062989685,0.9549254823005062,50.361845198482,14.769306443956726,13,0.16976214303398535,0.5788717838905977,0.748633926924583,ets
FOODS_3_135_CA_3,62.52801704406738,41.35193061828613,13,0.21097923784839864,0.3190204951227928,0.5299997329711914,46.18768574266234,24.612070598247755,13,0.12557178876657019,0.23565145787072622,0.36122324663729644,ets
FOODS_3_144_CA_3,31.547776222229004,9.633779525756836,13,0.1660996469958075,0.5439271762453276,0.7100268232411351,26.201291409521122,1.4718620654951766,13,0.025376932163709943,0.4517464036124331,0.4771233357761431,ets
