unique_id,moe_abs_error,moe_error,moe_n_forecasts,moe_bias,moe_mape,moe_fq,naive_abs_error,naive_error,naive_n_forecasts,naive_bias,naive_mape,naive_fq,better_by_fq
FOODS_1_108_CA_3,28.59448480606079,-16.94233775138855,13,-1.3032567501068115,2.1995757543123684,3.50283250441918,21.0,-9.0,13,-0.6923076923076923,1.6153846153846154,2.3076923076923075,naive
FOODS_2_019_CA_3,30.338486194610596,-7.6820502281188965,13,-0.08932616544324298,0.35277309528616974,0.44209926072941275,42.0,2.0,13,0.023255813953488372,0.4883720930232558,0.5116279069767442,moe
FOODS_2_197_CA_3,46.864967346191406,-11.981706619262694,13,-0.10794330287624049,0.4222069130287514,0.5301502159049919,58.0,-20.0,13,-0.18018018018018017,0.5225225225225225,0.7027027027027026,moe
FOODS_2_285_CA_3,38.48282790184021,-13.631689310073853,13,-0.36842403540740143,1.0400764297794651,1.4085004651868664,29.0,-5.0,13,-0.13513513513513514,0.7837837837837838,0.9189189189189189,naive
FOODS_2_315_CA_3,39.966092586517334,-0.6934809684753418,13,-0.011007634420243521,0.6343824220082116,0.6453900564284551,50.0,-24.0,13,-0.38095238095238093,0.7936507936507936,1.1746031746031744,moe
FOODS_3_026_CA_3,18.52821236848831,9.345673739910126,13,0.4918775652584277,0.9751690720257006,1.4670466372841282,21.0,1.0,13,0.05263157894736842,1.105263157894737,1.1578947368421053,naive
FOODS_3_076_CA_3,36.09329700469971,-10.051441192626953,13,-0.13769097524146512,0.4944287260917768,0.6321197013332419,42.0,6.0,13,0.0821917808219178,0.5753424657534246,0.6575342465753424,moe
FOODS_3_133_CA_3,60.223862648010254,22.85465431213379,13,0.2626971760015378,0.6922283062989685,0.9549254823005062,39.0,27.0,13,0.3103448275862069,0.4482758620689655,0.7586206896551724,naive
FOODS_3_135_CA_3,62.52801704406738,41.35193061828613,13,0.21097923784839864,0.3190204951227928,0.5299997329711914,49.0,-1.0,13,-0.00510204081632653,0.25,0.25510204081632654,naive
FOODS_3_144_CA_3,31.547776222229004,9.633779525756836,13,0.1660996469958075,0.5439271762453276,0.7100268232411351,28.0,2.0,13,0.034482758620689655,0.4827586206896552,0.5172413793103449,naive
FOODS_3_265_CA_3,24.012253880500793,12.346630215644836,13,0.22864130028971918,0.4446713681574221,0.6733126684471413,38.0,-2.0,13,-0.037037037037037035,0.7037037037037037,0.7407407407407407,moe
FOODS_3_310_CA_3,14.22164237499237,5.795034289360046,13,0.2519580125808716,0.6183322771735813,0.8702902897544529,25.0,7.0,13,0.30434782608695654,1.0869565217391304,1.391304347826087,moe
FOODS_3_324_CA_3,92.236407995224,60.05308985710144,13,0.43834372158468204,0.6732584525198833,1.1116021741045654,94.0,52.0,13,0.3795620437956204,0.6861313868613139,1.0656934306569343,naive
FOODS_3_407_CA_3,23.525904059410095,7.031912684440613,13,0.14063825368881225,0.47051808118820193,0.6111563348770142,33.0,13.0,13,0.26,0.66,0.92,moe
FOODS_3_455_CA_3,33.676279067993164,28.751766204833984,13,0.20834613191908685,0.2440310077390809,0.4523771396581677,45.0,-7.0,13,-0.050724637681159424,0.32608695652173914,0.37681159420289856,naive
FOODS_3_519_CA_3,26.53532886505127,-16.5982084274292,13,-0.55327361424764,0.8845109621683757,1.4377845764160155,36.0,-18.0,13,-0.6,1.2,1.7999999999999998,moe
FOODS_3_524_CA_3,3.2449759840965267,3.2449759840965267,13,,,,0.0,0.0,13,,,,tie
FOODS_3_570_CA_3,36.070045948028564,1.7706074714660645,13,0.015263857512638486,0.3109486719657635,0.32621252947840196,60.0,24.0,13,0.20689655172413793,0.5172413793103449,0.7241379310344828,moe
FOODS_3_578_CA_3,39.53938603401184,19.009584665298462,13,0.22630457934879122,0.4707069765953791,0.6970115559441703,57.0,1.0,13,0.011904761904761904,0.6785714285714286,0.6904761904761905,naive
FOODS_3_583_CA_3,35.86436128616333,-2.1089353561401367,13,-0.03765955993107387,0.6404350229672023,0.6780945828982762,43.0,-3.0,13,-0.05357142857142857,0.7678571428571429,0.8214285714285715,moe
FOODS_3_586_CA_3,155.16023635864258,24.091449737548835,13,0.026917820935808755,0.1733633925794889,0.20028121351529765,137.0,23.0,13,0.02569832402234637,0.15307262569832403,0.1787709497206704,naive
FOODS_3_587_CA_3,95.24488067626953,33.72248458862305,13,0.09393449746134554,0.26530607430715747,0.359240571768503,90.0,-68.0,13,-0.1894150417827298,0.25069637883008355,0.4401114206128134,moe
FOODS_3_594_CA_3,2.5190318822860713,2.5190318822860713,13,,,,0.0,0.0,13,,,,tie
FOODS_3_628_CA_3,27.170894622802734,9.282597064971924,13,0.17189994564762823,0.5031647152370877,0.675064660884716,37.0,-17.0,13,-0.3148148148148148,0.6851851851851852,1.0,moe
FOODS_3_648_CA_3,26.46519148349762,7.206320405006409,13,0.2771661694233234,1.0178919801345239,1.2950581495578473,25.0,19.0,13,0.7307692307692307,0.9615384615384616,1.6923076923076923,moe
FOODS_3_661_CA_3,41.657254219055176,6.430356979370117,13,0.06768796820389597,0.43849741283215976,0.5061853810360557,32.0,20.0,13,0.21052631578947367,0.3368421052631579,0.5473684210526315,moe
FOODS_3_694_CA_3,56.7323236465454,-5.109194755554199,13,-0.024099975262048108,0.2676053002195538,0.2917052754816019,58.0,-26.0,13,-0.12264150943396226,0.27358490566037735,0.39622641509433965,moe
FOODS_3_805_CA_3,15.727179825305939,-7.622118294239044,13,-0.47638239338994026,0.9829487390816212,1.4593311324715614,20.0,-4.0,13,-0.25,1.25,1.5,moe
FOODS_3_809_CA_3,22.583459615707397,0.18254494667053223,13,0.005704529583454132,0.7057331129908562,0.7114376425743103,26.0,-4.0,13,-0.125,0.8125,0.9375,moe
HOBBIES_1_043_CA_3,49.91865849494934,18.218079328536987,13,0.27191163176920874,0.7450546044022289,1.0169662361714376,85.0,19.0,13,0.2835820895522388,1.2686567164179106,1.5522388059701493,moe
HOBBIES_1_055_CA_3,14.755771517753601,-4.416427731513977,13,-0.17665710926055908,0.5902308607101441,0.7668879699707032,25.0,1.0,13,0.04,1.0,1.04,moe
HOBBIES_1_228_CA_3,24.472129344940186,-19.544381141662598,13,-3.257396856943766,4.078688224156697,7.336085081100464,29.0,-29.0,13,-4.833333333333333,4.833333333333333,9.666666666666666,moe
HOBBIES_1_254_CA_3,127.84609603881836,-82.41719245910645,13,-0.7166712387748386,1.1117051829462465,1.8283764217210852,89.0,-15.0,13,-0.13043478260869565,0.7739130434782608,0.9043478260869565,naive
HOUSEHOLD_1_038_CA_3,16.078523993492126,-8.291121125221252,13,-0.3768691420555115,0.7308419997041876,1.1077111417596992,25.0,-7.0,13,-0.3181818181818182,1.1363636363636365,1.4545454545454546,moe
HOUSEHOLD_1_109_CA_3,15.851001024246216,-7.775503396987915,13,-0.25918344656626385,0.5283667008082072,0.787550147374471,11.0,1.0,13,0.03333333333333333,0.36666666666666664,0.39999999999999997,naive
HOUSEHOLD_1_153_CA_3,16.464949071407318,7.401828706264496,13,0.264351025223732,0.5880338954074043,0.8523849206311362,20.0,8.0,13,0.2857142857142857,0.7142857142857143,1.0,moe
HOUSEHOLD_1_226_CA_3,7.000002583497432,6.999993545808989,13,0.9999990779727127,1.0000003690710617,1.9999994470437743,7.0,7.0,13,1.0,1.0,2.0,moe
HOUSEHOLD_1_236_CA_3,40.21929740905762,0.38251352310180664,13,0.0056251988691442155,0.5914602560155532,0.5970854548846974,28.0,-2.0,13,-0.029411764705882353,0.4117647058823529,0.4411764705882353,naive
HOUSEHOLD_1_282_CA_3,18.078481674194336,3.366461753845215,13,0.14026923974355063,0.7532700697580973,0.893539309501648,27.0,1.0,13,0.041666666666666664,1.125,1.1666666666666667,moe
HOUSEHOLD_1_285_CA_3,21.520006775856018,3.859866976737976,13,0.15439467906951904,0.8608002710342407,1.0151949501037598,22.0,-2.0,13,-0.08,0.88,0.96,naive
HOUSEHOLD_1_287_CA_3,16.432721376419067,9.144348382949829,13,0.2540096773041619,0.4564644826783074,0.7104741599824693,25.0,17.0,13,0.4722222222222222,0.6944444444444444,1.1666666666666665,moe
HOUSEHOLD_1_347_CA_3,40.15621495246887,-31.48643660545349,13,-1.211016792517442,1.5444698058641875,2.7554865983816295,33.0,-19.0,13,-0.7307692307692307,1.2692307692307692,2.0,naive
HOUSEHOLD_1_440_CA_3,24.652649879455566,-1.0304207801818848,13,-0.019815784234267015,0.47408942075876087,0.49390520499302787,25.0,-5.0,13,-0.09615384615384616,0.4807692307692308,0.576923076923077,moe
HOUSEHOLD_1_455_CA_3,8.395128726959229,-5.3505377769470215,13,-0.16213750839233398,0.25439784021088574,0.4165353486032197,24.0,-20.0,13,-0.6060606060606061,0.7272727272727273,1.3333333333333335,moe
HOUSEHOLD_1_494_CA_3,105.5908751487732,-79.89069318771362,13,-0.5831437458957198,0.7707363149545489,1.3538800608502686,118.0,-94.0,13,-0.6861313868613139,0.8613138686131386,1.5474452554744524,moe
HOUSEHOLD_1_516_CA_3,30.16736650466919,2.6407017707824707,13,0.0498245617128768,0.5691955944277206,0.6190201561405975,36.0,-14.0,13,-0.2641509433962264,0.6792452830188679,0.9433962264150944,moe
HOUSEHOLD_2_312_CA_3,13.113759100437164,-0.47219175100326494,13,-0.022485321476345948,0.6244647190684364,0.6469500405447823,23.0,-3.0,13,-0.14285714285714285,1.0952380952380953,1.2380952380952381,moe
HOUSEHOLD_2_350_CA_3,21.922085642814636,0.5981911420822144,13,0.03323284122678968,1.2178936468230352,1.251126488049825,18.0,-4.0,13,-0.2222222222222222,1.0,1.2222222222222223,naive
HOUSEHOLD_2_483_CA_3,31.757951736450195,16.416890621185303,13,0.3648197915818956,0.7057322608100043,1.0705520523918999,39.0,5.0,13,0.1111111111111111,0.8666666666666667,0.9777777777777779,naive
