unique_id,moe_abs_error,moe_error,moe_n_forecasts,moe_bias,moe_mape,moe_fq,ets_abs_error,ets_error,ets_n_forecasts,ets_bias,ets_mape,ets_fq,better_by_fq
FOODS_1_108_CA_3,27.34938418865204,-26.380327105522156,13,-2.029255931194012,2.1037987837424645,4.133054714936477,25.80747563333836,-15.099798780271012,13,-1.1615229830977702,1.98519043333372,3.1467134164314903,ets
FOODS_2_019_CA_3,38.188514709472656,-28.96767044067383,13,-0.3368333772171376,0.4440524966217751,0.7808858738389126,26.558818425941805,4.951115593984289,13,0.05757111155795685,0.3088234700690908,0.36639458162704763,ets
FOODS_2_197_CA_3,51.021538734436035,-16.140660285949707,13,-0.14541135392747484,0.45965350211203637,0.6050648560395112,61.67388260574802,-49.37396890381108,13,-0.44481053066496473,0.5556205640157479,1.0004310946807127,moe
FOODS_2_285_CA_3,19.174296975135803,-0.3823498487472534,13,-0.010333779695871714,0.5182242425712379,0.5285580222671096,25.282674774320952,-12.897504517916191,13,-0.3485812031869241,0.6833155344411068,1.0318967376280308,moe
FOODS_2_315_CA_3,31.074713945388794,19.35680079460144,13,0.3072508062635149,0.493249427704584,0.8005002339680989,31.710371409158423,-4.877366144641512,13,-0.07741851023240495,0.5033392287168004,0.5807577389492053,ets
FOODS_3_026_CA_3,19.65937513113022,3.4439130425453186,13,0.1812585811865957,1.0347039542700116,1.2159625354566073,18.977183587463074,1.4950467034888524,13,0.07868666860467644,0.998799136182267,1.0774858047869436,ets
FOODS_3_076_CA_3,32.67020606994629,-18.89242458343506,13,-0.25880033675938435,0.44753706945131905,0.7063374062107034,32.37184763503795,-3.579054539158924,13,-0.049028144372040054,0.4434499676032596,0.49247811197529967,ets
FOODS_3_133_CA_3,61.80435132980347,-6.925112247467041,13,-0.07959899135019588,0.7103948428713042,0.7899938342215,50.361845198482,14.769306443956726,13,0.16976214303398535,0.5788717838905977,0.748633926924583,ets
FOODS_3_135_CA_3,45.535884857177734,23.74044418334961,13,0.12112471522117148,0.23232594314886598,0.3534506583700375,46.18768574266234,24.612070598247755,13,0.12557178876657019,0.23565145787072622,0.36122324663729644,moe
FOODS_3_144_CA_3,26.166080713272095,9.010613203048706,13,0.1553554000525639,0.4511393226426223,0.6064947226951862,26.201291409521122,1.4718620654951766,13,0.025376932163709943,0.4517464036124331,0.4771233357761431,ets
FOODS_3_265_CA_3,24.53787398338318,13.51108980178833,13,0.2502053666997839,0.45440507376635514,0.7046104404661391,27.317317640029426,6.218970486739217,13,0.1151661201248003,0.5058762525931375,0.6210423727179378,ets
FOODS_3_310_CA_3,23.16097068786621,-9.391950607299805,13,-0.4083456785782524,1.0069987255594004,1.4153444041376528,17.985165767405,-2.599433910509471,13,-0.11301886567432481,0.7819637290176087,0.8949825946919335,ets
FOODS_3_324_CA_3,110.129998087883,103.86033809185028,13,0.7581046576047465,0.8038685991816277,1.5619732567863742,74.74785044929602,56.05204883538417,13,0.40913904259404504,0.5456047478050805,0.9547437903991256,ets
FOODS_3_407_CA_3,20.273392915725708,-0.7164862155914307,13,-0.014329724311828614,0.40546785831451415,0.41979758262634276,23.369783460849877,5.282919389891205,13,0.1056583877978241,0.46739566921699754,0.5730540570148217,moe
FOODS_3_455_CA_3,40.60566759109497,29.35588312149048,13,0.21272379073543826,0.29424396805141284,0.5069677587868511,26.419787358357198,16.56260435403827,13,0.1200188721307121,0.19144773448084926,0.31146660661156134,ets
FOODS_3_519_CA_3,29.084290981292725,-22.714921951293945,13,-0.7571640650431315,0.9694763660430908,1.7266404310862224,23.909212060049672,-19.124439559581113,13,-0.6374813186527037,0.796973735334989,1.4344550539876928,ets
FOODS_3_524_CA_3,37.93592667579651,-37.58844208717346,13,,,,5.797253704079893,-5.797253704079893,13,,,,tie
FOODS_3_570_CA_3,34.82789707183838,21.98151969909668,13,0.18949585947497138,0.3002404919986067,0.4897363514735781,30.38465768690904,9.935479197950453,13,0.08565068274095218,0.2619367041974917,0.3475873869384439,ets
FOODS_3_578_CA_3,73.58324563503265,73.58324563503265,13,0.8759910194646745,0.8759910194646745,1.751982038929349,39.837449711685636,7.527296319089703,13,0.0896106704653536,0.4742553537105433,0.5638660241758969,ets
FOODS_3_583_CA_3,26.740492343902588,2.123579502105712,13,0.037921062537602,0.47750879185540335,0.5154298543930054,30.474644373254637,1.3017090536504958,13,0.02324480452947314,0.5441900780938328,0.567434882623306,moe
